FILEHASH,DELIMITER,QUOTECHAR,ESCAPECHAR,ENCODING
855,",",n/a,n/a,ascii
856,",",n/a,n/a,ascii
857,",",n/a,n/a,ascii
858,",",n/a,n/a,ascii
859,",",n/a,n/a,ascii
860,",",n/a,n/a,ascii
861,",",n/a,n/a,ascii
862,",",n/a,n/a,utf-8
863,",",n/a,n/a,﻿GB2312
864,",",n/a,n/a,ascii
865,",",n/a,n/a,ascii
866,",",n/a,n/a,ascii
867,",",n/a,n/a,ascii
868,",",n/a,n/a,ascii
869,",",n/a,n/a,ascii
870,",",n/a,n/a,ascii
871,",",n/a,n/a,ascii
872,",",n/a,n/a,ascii
873,",",n/a,n/a,ascii
874,",","""",n/a,ascii
875,",","""",n/a,ascii
876,",","""",n/a,utf-8
877,",","""",n/a,utf-8
878,",","""",n/a,ascii
879,",","""",n/a,ascii
880,",","""",n/a,ascii
881,",","""",n/a,ascii
882,",","""",n/a,utf-8
883,",","""",n/a,ascii
884,",","""",n/a,ascii
885,space,n/a,n/a,ascii
886,space,n/a,n/a,ascii
887,;,n/a,n/a,ascii
888,",",n/a,n/a,ascii
889,",",n/a,n/a,ascii
890,",",n/a,n/a,ascii
891,",",n/a,n/a,ascii
892,",",n/a,n/a,ascii
893,",",n/a,n/a,ascii
894,",",n/a,n/a,utf-8
895,",",n/a,n/a,utf-8
896,",",n/a,n/a,ascii
897,",",n/a,n/a,ascii
898,",",n/a,n/a,ascii
899,",","""",n/a,ascii
900,",","""",n/a,utf-8
901,",","""",n/a,utf-8
902,",","""",n/a,ascii
903,;,n/a,n/a,ISO-8859-1
904,\t,n/a,n/a,ascii
905,\t,n/a,n/a,ISO-8859-1
906,\t,n/a,n/a,ascii
907,space,n/a,n/a,utf-8
908,",",n/a,n/a,ascii
909,",",n/a,n/a,utf-8
910,",",n/a,n/a,ascii
911,",",n/a,n/a,ascii
912,",",n/a,n/a,ascii
913,",",n/a,n/a,ascii
914,",",n/a,n/a,ascii
915,",",n/a,n/a,ascii
916,",",n/a,n/a,ascii
917,",",n/a,n/a,ascii
918,",",n/a,n/a,ascii
919,",",n/a,n/a,ascii
920,",",n/a,n/a,ascii
921,",",n/a,n/a,ascii
922,",",n/a,n/a,ascii
923,",",n/a,n/a,ascii
924,",",n/a,n/a,utf-8
925,",",n/a,n/a,ascii
926,",","""",n/a,ascii
927,",","""",n/a,utf-8
928,",","""",n/a,ascii
929,",","""",n/a,ascii
930,",","""",n/a,ascii
931,",","""",n/a,utf-8
932,\t,n/a,n/a,ascii
933,;,n/a,n/a,ascii
934,n/a,n/a,n/a,ascii
935,\t,n/a,n/a,ISO-8859-1
936,;,n/a,n/a,ISO-8859-1
937,#,n/a,n/a,utf-8
938,",",n/a,n/a,ascii
939,",",n/a,n/a,ascii
940,",",n/a,n/a,utf-8
941,",",n/a,n/a,ascii
942,",",n/a,n/a,ascii
943,",",n/a,n/a,ascii
944,",",n/a,n/a,ascii
945,",",n/a,n/a,utf-8
946,",",n/a,n/a,ascii
947,",",n/a,n/a,ascii
948,",",n/a,n/a,ascii
949,",",n/a,n/a,ascii
950,",",n/a,n/a,ascii
951,",",n/a,n/a,utf-8
952,",",n/a,n/a,ascii
953,",",n/a,n/a,ascii
954,",",n/a,n/a,ascii
955,",",n/a,n/a,ascii
956,",",n/a,n/a,ascii
957,",","""",n/a,ascii
958,",","""",n/a,ascii
959,",","""",n/a,ascii
960,",","""",n/a,ascii
961,;,n/a,n/a,ascii
962,",",n/a,n/a,ascii
963,",",n/a,n/a,ascii
964,",",n/a,n/a,ascii
965,",",n/a,n/a,ascii
966,",",n/a,n/a,ascii
967,",",n/a,n/a,ascii
968,",",n/a,n/a,ascii
969,",",n/a,n/a,ascii
970,",",n/a,n/a,ascii
971,",",n/a,n/a,ascii
972,",",n/a,n/a,ascii
973,",",n/a,n/a,ascii
974,",",n/a,n/a,ascii
975,",",n/a,n/a,ascii
976,",",n/a,n/a,ascii
977,",",n/a,n/a,ascii
978,",",n/a,n/a,ascii
979,",",n/a,n/a,ascii
980,",",n/a,n/a,utf-8
981,",",n/a,n/a,ascii
982,",",n/a,n/a,ascii
983,",",n/a,n/a,ascii
984,",",n/a,n/a,ascii
985,",",n/a,n/a,ascii
986,",",n/a,n/a,ascii
987,",","""",n/a,utf-8
988,",","""",n/a,ascii
989,",","""",n/a,ascii
990,",","""",n/a,ascii
991,",","""",n/a,utf-8
992,",","""",n/a,ascii
993,",","""",n/a,ascii
994,",","""",n/a,ascii
995,",","""",n/a,ascii
996,",","""",n/a,utf-8
997,",","""",n/a,utf-8
998,",","""",n/a,utf-8
999,",","""",n/a,ascii
1000,",","""",n/a,ascii
1001,",","""",n/a,n/a
1002,;,n/a,n/a,ISO-8859-1
1003,;,n/a,n/a,ISO-8859-1
1004,;,n/a,n/a,ISO-8859-1
1005,\t,n/a,n/a,ISO-8859-1
1006,",",n/a,n/a,ascii
1007,",",n/a,n/a,ascii
1008,",",n/a,n/a,utf-8
1009,",",n/a,n/a,ascii
1010,",",n/a,n/a,ascii
1011,",",n/a,n/a,ascii
1012,",",n/a,n/a,ascii
1013,",",n/a,n/a,ascii
1014,",",n/a,n/a,ascii
1015,",",n/a,n/a,ascii
1016,",",n/a,n/a,ascii
1017,;,n/a,n/a,ascii
1018,\t,n/a,n/a,ascii
1019,space,n/a,n/a,ascii
1020,",","""",n/a,ascii
1021,",","""",n/a,ascii
1022,\t,n/a,n/a,ascii
1023,",","""",n/a,ascii
1024,",","""",n/a,ascii
1025,",",n/a,n/a,ascii
1026,",",n/a,n/a,ascii
1027,",",n/a,n/a,ascii
1028,",",n/a,n/a,ascii
1029,",",n/a,n/a,ascii
1030,",",n/a,n/a,ascii
1031,",",n/a,n/a,ascii
1032,",",n/a,n/a,ascii
1033,",",n/a,n/a,ascii
1034,",",n/a,n/a,ascii
1035,",",n/a,n/a,ascii
1036,",",n/a,n/a,ascii
1037,",",n/a,n/a,ascii
1038,",",n/a,n/a,ascii
1039,",",n/a,n/a,utf-8
1040,",",n/a,n/a,ascii
1041,",",n/a,n/a,ascii
1042,",",n/a,n/a,ascii
1043,",",n/a,n/a,ascii
1044,",",n/a,n/a,ascii
1045,",",n/a,n/a,ascii
1046,",",n/a,n/a,ascii
1047,",",n/a,n/a,ascii
1048,\t,n/a,n/a,ISO-8859-1
1049,\t,n/a,n/a,ascii
1050,\t,n/a,n/a,ISO-8859-1
1051,space,n/a,n/a,ascii
1052,",","""",n/a,ascii
1053,",","""",n/a,ascii
1054,",","""",n/a,utf-8
1055,",","""",n/a,ascii
1056,",","""",n/a,ascii
1057,",","""",n/a,ascii
1058,",","""",n/a,ISO-8859-1
1059,",","""",n/a,ascii
1060,",","""",n/a,utf-8
1061,",","""",n/a,ascii
1062,",","""",n/a,ascii
1063,",","""",n/a,ascii
1064,",",n/a,n/a,ascii
1065,",",n/a,n/a,ascii
1066,",",n/a,n/a,ascii
1067,",",n/a,n/a,ascii
1068,",",n/a,n/a,ascii
1069,",",n/a,n/a,﻿GB2312
1070,",",n/a,n/a,ascii
1071,",",n/a,n/a,utf-8
1072,",",n/a,n/a,ascii
1073,",",n/a,n/a,ascii
1074,",",n/a,n/a,utf-8
1075,",",n/a,n/a,ascii
1076,",",n/a,n/a,ascii
1077,",",n/a,n/a,ascii
1078,;,n/a,n/a,ISO-8859-1
1079,\t,n/a,n/a,ascii
1080,|,n/a,n/a,ascii
1081,space,n/a,n/a,ascii
1082,;,"""",n/a,ascii
1083,",",n/a,n/a,ascii
1084,",",n/a,n/a,ascii
1085,",",n/a,n/a,ascii
1086,",",n/a,n/a,ascii
1087,",",n/a,n/a,ascii
1088,",",n/a,n/a,ascii
1089,",",n/a,n/a,ascii
1090,",",n/a,n/a,ascii
1091,",",n/a,n/a,ascii
1092,",",n/a,n/a,ascii
1093,",",n/a,n/a,ascii
1094,",",n/a,n/a,ascii
1095,",",n/a,n/a,ascii
1096,",",n/a,n/a,ascii
1097,",",n/a,n/a,ascii
1098,",",n/a,n/a,ascii
1099,",",n/a,n/a,utf-8
1100,",",n/a,n/a,ascii
1101,#,n/a,n/a,utf-8
1102,",","""",n/a,ISO-8859-1
1103,",","""",n/a,ascii
1104,",","""",n/a,ascii
1105,",","""",n/a,ascii
1106,",","""",n/a,ascii
1107,",","""",n/a,utf-8
1108,",","""",n/a,ascii
1109,:,n/a,n/a,ascii
1110,\t,n/a,n/a,ascii
1111,space,n/a,n/a,ascii
1112,",",n/a,n/a,ascii
1113,",",n/a,n/a,ascii
1114,",",n/a,n/a,ascii
1115,",",n/a,n/a,ascii
1116,",",n/a,n/a,ascii
1117,",",n/a,n/a,ascii
1118,",",n/a,n/a,ascii
1119,",",n/a,n/a,ascii
1120,",",n/a,n/a,ascii
1121,",",n/a,n/a,ascii
1122,",",n/a,n/a,ascii
1123,",",n/a,n/a,ascii
1124,",",n/a,n/a,ascii
1125,",",n/a,n/a,utf-8
1126,",",n/a,n/a,ascii
1127,",",n/a,n/a,ascii
1128,",","""",n/a,ascii
1129,",","""",n/a,ascii
1130,",","""",n/a,ascii
1131,",","""",n/a,utf-8
1132,",","""",n/a,ascii
1133,",","""",n/a,ascii
1134,;,"""",n/a,utf-8
1135,\t,n/a,n/a,ISO-8859-1
1136,space,n/a,n/a,ascii
1137,;,n/a,n/a,ascii
1138,;,n/a,n/a,ISO-8859-1
1139,;,n/a,n/a,ascii
1140,;,n/a,n/a,ascii
1141,",",n/a,n/a,ascii
1142,",",n/a,n/a,ascii
1143,",",n/a,n/a,ascii
1144,",",n/a,n/a,ascii
1145,",",n/a,n/a,ascii
1146,",",n/a,n/a,ascii
1147,",",n/a,n/a,ascii
1148,",",n/a,n/a,ascii
1149,",",n/a,n/a,ascii
1150,",",n/a,n/a,ascii
1151,",",n/a,n/a,ascii
1152,",",n/a,n/a,ascii
1153,",",n/a,n/a,ascii
1154,",",n/a,n/a,ascii
1155,",","""",n/a,ascii
1156,",","""",n/a,utf-8
1157,",","""",n/a,ascii
1158,",","""",n/a,ascii
1159,n/a,n/a,n/a,ascii
1160,",",n/a,n/a,ascii
1161,",",n/a,n/a,ascii
1162,",",n/a,n/a,﻿Big5
1163,",",n/a,n/a,ascii
1164,",",n/a,n/a,ascii
1165,",",n/a,n/a,ascii
1166,",",n/a,n/a,ascii
1167,",",n/a,n/a,ascii
1168,",",n/a,n/a,ascii
1169,",",n/a,n/a,ascii
1170,",",n/a,n/a,ascii
1171,",",n/a,n/a,ascii
1172,",",n/a,n/a,ascii
1173,;,n/a,n/a,ISO-8859-1
1174,",","""",n/a,ascii
1175,",","""",n/a,ascii
1176,",","""",n/a,utf-8
1177,",","""",n/a,ascii
1178,",","""",n/a,ascii
1179,",","""",n/a,utf-8
1180,",","""",n/a,ascii
1181,",","""",n/a,ascii
1182,",","""",n/a,ascii
1183,",","""",n/a,ascii
1184,",","""",n/a,utf-8
1185,",","""",n/a,ascii
1186,",","""",n/a,utf-8
1187,",","""",n/a,ascii
1188,\t,n/a,n/a,ascii
1189,",",n/a,n/a,utf-8
1190,",",n/a,n/a,utf-8
1191,",",n/a,n/a,ascii
1192,",",n/a,n/a,ascii
1193,",",n/a,n/a,ascii
1194,",",n/a,n/a,ascii
1195,",",n/a,n/a,ascii
1196,",",n/a,n/a,utf-8
1197,",",n/a,n/a,ascii
1198,",",n/a,n/a,ascii
1199,",",n/a,n/a,ascii
1200,",",n/a,n/a,ascii
1201,",",n/a,n/a,ascii
1202,",",n/a,n/a,ascii
1203,",",n/a,n/a,ascii
1204,",",n/a,n/a,ascii
1205,",",n/a,n/a,ascii
1206,",",n/a,n/a,ascii
1207,",",n/a,n/a,ascii
1208,",",n/a,n/a,ascii
1209,",",n/a,n/a,utf-8
1210,",",n/a,n/a,ascii
1211,",",n/a,n/a,ascii
1212,",",n/a,n/a,ascii
1213,",",n/a,n/a,ascii
1214,",",n/a,n/a,ascii
1215,",",n/a,n/a,ascii
1216,",",n/a,n/a,ascii
1217,",",n/a,n/a,ascii
1218,",",n/a,n/a,ascii
1219,",",n/a,n/a,ascii
1220,",",n/a,n/a,ascii
1221,",",n/a,n/a,ascii
1222,",",n/a,n/a,ascii
1223,|,n/a,n/a,utf-8
1224,;,n/a,n/a,ISO-8859-1
1225,\t,n/a,n/a,ascii
1226,\t,n/a,n/a,ascii
1227,n/a,n/a,n/a,ascii
1228,",","""",n/a,ascii
1229,",","""",n/a,ascii
1230,",","""",n/a,ascii
1231,",","""",n/a,ascii
1232,",","""",n/a,ascii
1233,",","""",n/a,utf-8
1234,",","""",n/a,utf-8
1235,",","""",n/a,ascii
1236,",",n/a,n/a,ascii
1237,",",n/a,n/a,ascii
1238,",",n/a,n/a,utf-8
1239,",",n/a,n/a,ascii
1240,",",n/a,n/a,ascii
1241,",",n/a,n/a,ascii
1242,",",n/a,n/a,ascii
1243,",",n/a,n/a,ascii
1244,",",n/a,n/a,ascii
1245,",",n/a,n/a,ascii
1246,",",n/a,n/a,ascii
1247,",",n/a,n/a,utf-8
1248,",",n/a,n/a,ascii
1249,",",n/a,n/a,ascii
1250,",",n/a,n/a,ascii
1251,",",n/a,n/a,ascii
1252,",",n/a,n/a,ascii
1253,",",n/a,n/a,ascii
1254,",",n/a,n/a,ascii
1255,",",n/a,n/a,ascii
1256,",",n/a,n/a,ascii
1257,",",n/a,n/a,ascii
1258,",",n/a,n/a,ascii
1259,\t,n/a,n/a,ascii
1260,\t,n/a,n/a,ISO-8859-1
1261,;,n/a,n/a,ISO-8859-1
1262,;,n/a,n/a,ISO-8859-1
1263,n/a,n/a,n/a,ascii
1264,",","""",n/a,ascii
1265,",","""",n/a,ascii
1266,",","""",n/a,ascii
1267,",","""",n/a,ascii
1268,",","""",n/a,utf-8
1269,",","""",n/a,utf-8
1270,",","""",n/a,ascii
1271,",","""",n/a,ascii
1272,",","""",n/a,ascii
1273,",","""",n/a,ascii
1274,",","""",n/a,ascii
1275,space,n/a,n/a,ascii
1276,;,n/a,n/a,ISO-8859-1
1277,;,n/a,n/a,ascii
1278,",",n/a,n/a,ascii
1279,",",n/a,n/a,ascii
1280,",",n/a,n/a,utf-8
1281,",",n/a,n/a,ascii
1282,\t,n/a,n/a,ISO-8859-1
1283,\t,n/a,n/a,ascii
1284,",",n/a,n/a,ascii
1285,",",n/a,n/a,ascii
1286,",",n/a,n/a,ascii
1287,",",n/a,n/a,ascii
1288,",",n/a,n/a,﻿GB2312
1289,",",n/a,n/a,ascii
1290,",",n/a,n/a,ascii
1291,",",n/a,n/a,ascii
1292,",",n/a,n/a,ascii
1293,",",n/a,n/a,ascii
1294,\t,n/a,n/a,ascii
1295,",",n/a,n/a,ascii
1296,",",n/a,n/a,ascii
1297,",",n/a,n/a,ascii
1298,",",n/a,n/a,ascii
1299,",",n/a,n/a,ascii
1300,",","""",n/a,ascii
1301,",","""",n/a,ascii
1302,",","""",n/a,ascii
1303,",","""",n/a,ascii
1304,;,"""",n/a,ascii
1305,",","""",n/a,ascii
1306,",",n/a,n/a,ascii
1307,",","""",n/a,ascii
1308,",","""",n/a,ascii
1309,",","""",n/a,ascii
1310,;,n/a,n/a,ascii
1311,",",n/a,n/a,ascii
1312,",",n/a,n/a,utf-8
1313,",",n/a,n/a,ascii
1314,",",n/a,n/a,ascii
1315,",",n/a,n/a,ascii
1316,",",n/a,n/a,ascii
1317,",",n/a,n/a,utf-8
1318,",",n/a,n/a,ascii
1319,",",n/a,n/a,ascii
1320,",",n/a,n/a,ascii
1321,",",n/a,n/a,ascii
1322,",",n/a,n/a,ascii
1323,",",n/a,n/a,utf-8
1324,",",n/a,n/a,ISO-8859-1
1325,",","""",n/a,ascii
1326,",","""",n/a,ascii
1327,n/a,n/a,n/a,ascii
1328,;,n/a,n/a,ascii
1329,\t,n/a,n/a,ascii
1330,;,n/a,n/a,ISO-8859-1
1331,;,n/a,n/a,ISO-8859-1
1332,",",n/a,n/a,ascii
1333,",",n/a,n/a,ascii
1334,",",n/a,n/a,ascii
1335,",",n/a,n/a,ascii
1336,",",n/a,n/a,utf-8
1337,",",n/a,n/a,ascii
1338,",",n/a,n/a,utf-8
1339,",",n/a,n/a,ascii
1340,",",n/a,n/a,ascii
1341,",",n/a,n/a,ascii
1342,",",n/a,n/a,ascii
1343,",",n/a,n/a,ascii
1344,",","""",n/a,ascii
1345,",","""",n/a,ascii
1346,",","""",n/a,ascii
1347,",","""",n/a,Windows-1252
1348,",","""",n/a,ascii
1349,",","""",n/a,ascii
1350,\t,n/a,n/a,ascii
1351,",",n/a,n/a,ascii
1352,",",n/a,n/a,ascii
1353,",",n/a,n/a,ascii
1354,",",n/a,n/a,ascii
1355,",",n/a,n/a,ascii
1356,",",n/a,n/a,ascii
1357,",",n/a,n/a,ascii
1358,",",n/a,n/a,ascii
1359,",",n/a,n/a,ascii
1360,",",n/a,n/a,ascii
1361,",",n/a,n/a,ascii
1362,>,n/a,front,utf-8
1363,",","""",n/a,ascii
1364,",","""",n/a,ascii
1365,",","""",n/a,ascii
1366,",","""",n/a,ascii
1367,",","""",n/a,ascii
1368,",","""",n/a,ascii
1369,",","""",n/a,ascii
1370,",","""",n/a,utf-8
1371,",","""",n/a,ascii
1372,",","""",n/a,ascii
1373,",",n/a,n/a,ascii
1374,",",n/a,n/a,ascii
1375,",",n/a,n/a,ascii
1376,",",n/a,n/a,ascii
1377,;,n/a,n/a,ISO-8859-1
1378,;,n/a,n/a,ISO-8859-1
1379,",","""",n/a,utf-8
1380,",","""",n/a,ascii
1381,",","""",n/a,ascii
1382,",","""",n/a,ascii
1383,",","""",n/a,ascii
1384,",","""",n/a,ascii
1385,",","""",n/a,ascii
1386,",","""",n/a,ascii
1387,",","""",n/a,utf-8
1388,",","""",n/a,ascii
1389,:,n/a,n/a,ascii
1390,\t,n/a,n/a,ascii
1391,\t,n/a,n/a,ascii
1392,",",n/a,n/a,ascii
1393,",",n/a,n/a,ascii
1394,",",n/a,n/a,ascii
1395,",",n/a,n/a,ascii
1396,",",n/a,n/a,ascii
1397,",",n/a,n/a,ascii
1398,",",n/a,n/a,ascii
1399,",",n/a,n/a,ascii
1400,",",n/a,n/a,ascii
1401,",",n/a,n/a,ascii
1402,",",n/a,n/a,ascii
1403,",",n/a,n/a,ascii
1404,",",n/a,n/a,ascii
1405,",",n/a,n/a,ascii
1406,",",n/a,n/a,ascii
1407,",",n/a,n/a,utf-8
1408,",",n/a,n/a,ascii
1409,",",n/a,n/a,ascii
1410,",",n/a,n/a,ascii
1411,",",n/a,n/a,ascii
1412,",",n/a,n/a,ascii
1413,",",n/a,n/a,ascii
1414,",",n/a,n/a,ascii
1415,",",n/a,n/a,ascii
1416,",",n/a,n/a,ascii
1417,",",n/a,n/a,utf-8
1418,",",n/a,n/a,utf-8
1419,",",n/a,n/a,ascii
1420,",",n/a,n/a,ascii
1421,",",n/a,n/a,ascii
1422,",",n/a,n/a,utf-8
1423,",",n/a,n/a,utf-8
1424,;,n/a,n/a,ISO-8859-1
1425,;,n/a,n/a,ascii
1426,n/a,n/a,n/a,ascii
1427,n/a,n/a,n/a,ascii
1428,",","""",n/a,ascii
1429,",","""",n/a,ascii
1430,",","""",n/a,ascii
1431,",","""",n/a,UTF-16
1432,",","""",n/a,utf-8
1433,",","""",n/a,ascii
1434,",","""",n/a,ascii
1435,",","""",n/a,ascii
1436,;,n/a,n/a,ISO-8859-1
1437,",","""",n/a,ascii
1438,",","""",n/a,ascii
1439,",","""",n/a,ascii
1440,",","""",n/a,ascii
1441,",",n/a,n/a,ascii
1442,",",n/a,n/a,ascii
1443,",",n/a,n/a,ascii
1444,",",n/a,n/a,ascii
1445,",",n/a,n/a,ascii
1446,",",n/a,n/a,ascii
1447,",",n/a,n/a,ascii
1448,",",n/a,n/a,ascii
1449,",",n/a,n/a,ascii
1450,",",n/a,n/a,﻿GB2312
1451,",",n/a,n/a,ascii
1452,",",n/a,n/a,ascii
1453,",",n/a,n/a,ascii
1454,",",n/a,n/a,ascii
1455,;,"""",n/a,ascii
1456,;,"""",n/a,ISO-8859-1
1457,",","""",n/a,ascii
1458,",",n/a,n/a,ascii
1459,",",n/a,n/a,ascii
1460,",",n/a,n/a,ascii
1461,",",n/a,n/a,ascii
1462,",",n/a,n/a,ascii
1463,",",n/a,n/a,ascii
1464,",",n/a,n/a,ascii
1465,",",n/a,n/a,ascii
1466,",",n/a,n/a,ascii
1467,",",n/a,n/a,ascii
1468,",",n/a,n/a,ascii
1469,",",n/a,n/a,ascii
1470,",",n/a,n/a,ascii
1471,",",n/a,n/a,ascii
1472,",",n/a,n/a,ascii
1473,",",n/a,n/a,ascii
1474,",",n/a,n/a,ascii
1475,",",n/a,n/a,ascii
1476,",",n/a,n/a,ascii
1477,",",n/a,n/a,ascii
1478,",",n/a,n/a,ascii
1479,",",n/a,n/a,ascii
1480,",",n/a,n/a,ascii
1481,",",n/a,n/a,ascii
1482,",",n/a,n/a,ascii
1483,",",n/a,n/a,ascii
1484,",",n/a,n/a,ascii
1485,",",n/a,n/a,ascii
1486,",",n/a,n/a,ascii
1487,",",n/a,n/a,ascii
1488,",",n/a,n/a,ascii
1489,",",n/a,n/a,ascii
1490,",",n/a,n/a,ascii
1491,",",n/a,n/a,ascii
1492,",",n/a,n/a,ascii
1493,|,n/a,n/a,utf-8
1494,;,n/a,n/a,ISO-8859-1
1495,;,n/a,n/a,ISO-8859-1
1496,",","""",n/a,ascii
1497,",","""",n/a,utf-8
1498,",","""",n/a,ascii
1499,",","""",n/a,ISO-8859-1
1500,",","""",n/a,ascii
1501,",","""",n/a,ascii
1502,",","""",n/a,ascii
1503,",","""",n/a,ascii
1504,",","""",n/a,ascii
1505,",","""",n/a,ascii
1506,",","""",n/a,Utf-16
1507,",","""",n/a,ascii
1508,",","""",n/a,ISO-8859-1
1509,",","""",n/a,ascii
1510,",",n/a,n/a,ascii
1511,",",n/a,n/a,ascii
1512,",",n/a,n/a,ascii
1513,",",n/a,n/a,ascii
1514,",",n/a,n/a,ascii
1515,",",n/a,n/a,ascii
1516,",",n/a,n/a,ascii
1517,",",n/a,n/a,ascii
1518,",",n/a,n/a,ascii
1519,",",n/a,n/a,ascii
1520,",",n/a,n/a,ascii
1521,",",n/a,n/a,ascii
1522,",",n/a,n/a,ascii
1523,",",n/a,n/a,ascii
1524,",",n/a,n/a,ascii
1525,",",n/a,n/a,ascii
1526,",",n/a,n/a,ascii
1527,",",n/a,n/a,ascii
1528,;,"""",n/a,ascii
1529,",",n/a,n/a,ascii
1530,",",n/a,n/a,ascii
1531,",",n/a,n/a,ascii
1532,",",n/a,n/a,ascii
1533,",",n/a,n/a,ascii
1534,",",n/a,n/a,ascii
1535,",",n/a,n/a,ascii
1536,",",n/a,n/a,ascii
1537,",",n/a,n/a,utf-8
1538,",",n/a,n/a,ascii
1539,",",n/a,n/a,ascii
1540,",",n/a,n/a,ascii
1541,",",n/a,n/a,ascii
1542,",",n/a,n/a,ascii
1543,",",n/a,n/a,ascii
1544,",",n/a,n/a,ascii
1545,",",n/a,n/a,ascii
1546,",",n/a,n/a,ascii
1547,",",n/a,n/a,ascii
1548,",",n/a,n/a,utf-8
1549,\t,n/a,n/a,ascii
1550,",","""",n/a,ascii
1551,",","""",n/a,utf-8
1552,",","""",n/a,ascii
1553,",","""",n/a,ascii
1554,",","""",n/a,ascii
1555,",","""",n/a,utf-8
1556,|,n/a,n/a,ascii
1557,;,n/a,n/a,ascii
1558,",","""",n/a,utf-8
1559,",",n/a,n/a,ascii
1560,",",n/a,n/a,ISO-8859-1
1561,",",n/a,n/a,ascii
1562,",",n/a,n/a,ascii
1563,",",n/a,n/a,ascii
1564,",",n/a,n/a,ascii
1565,",",n/a,n/a,ascii
1566,",",n/a,n/a,ascii
1567,",",n/a,n/a,ascii
1568,",",n/a,n/a,ascii
1569,",",n/a,n/a,ascii
1570,",",n/a,n/a,ascii
1571,",",n/a,n/a,ascii
1572,",",n/a,n/a,ascii
1573,",",n/a,n/a,ascii
1574,",",n/a,n/a,utf-8
1575,",",n/a,n/a,ascii
1576,",",n/a,n/a,ascii
1577,",","""",n/a,ascii
1578,",","""",n/a,ascii
1579,",","""",n/a,ascii
1580,",","""",n/a,utf-8
1581,",","""",n/a,ascii
1582,",","""",n/a,ascii
1583,",","""",n/a,utf-8
1584,",","""",n/a,utf-8
1585,\t,n/a,n/a,ISO-8859-1
1586,",","""",n/a,ascii
1587,",","""",n/a,utf-8
1588,",","""",n/a,ascii
1589,",","""",n/a,utf-8
1590,",","""",n/a,ascii
1591,",","""",n/a,ascii
1592,",","""",n/a,utf-8
1593,",","""",n/a,ascii
1594,",","""",n/a,utf-8
1595,",","""",n/a,ascii
1596,",","""",n/a,utf-8
1597,",",n/a,n/a,ascii
1598,",",n/a,n/a,ascii
1599,",",n/a,n/a,ascii
1600,",",n/a,n/a,ascii
1601,",",n/a,n/a,ascii
1602,",",n/a,n/a,ascii
1603,",",n/a,n/a,ascii
1604,",",n/a,n/a,ascii
1605,",",n/a,n/a,ascii
1606,",",n/a,n/a,ascii
1607,",",n/a,n/a,ascii
1608,",",n/a,n/a,ascii
1609,",",n/a,n/a,ISO-8859-1
1610,",",n/a,n/a,utf-8
1611,currency,n/a,n/a,﻿ISO-8859-9
1612,;,n/a,n/a,ISO-8859-1
1613,;,n/a,n/a,ascii
1614,\t,n/a,n/a,ISO-8859-1
1615,",",n/a,n/a,utf-8
1616,",",n/a,n/a,ascii
1617,",",n/a,n/a,ascii
1618,",",n/a,n/a,ascii
1619,",",n/a,n/a,ascii
1620,",",n/a,n/a,ascii
1621,",",n/a,n/a,ascii
1622,",",n/a,n/a,ascii
1623,",",n/a,n/a,ascii
1624,",",n/a,n/a,ascii
1625,",",n/a,n/a,ascii
1626,",",n/a,n/a,ascii
1627,",",n/a,n/a,ascii
1628,",",n/a,n/a,ascii
1629,",",n/a,n/a,ascii
1630,",",n/a,n/a,ascii
1631,",",n/a,n/a,ascii
1632,",",n/a,n/a,ascii
1633,",",n/a,n/a,ascii
1634,",",n/a,n/a,ascii
1635,",","""",n/a,ascii
1636,",","""",n/a,ISO-8859-1
1637,",","""",n/a,ascii
1638,",","""",n/a,utf-8
1639,",","""",n/a,ascii
1640,",","""",n/a,utf-8
1641,;,n/a,n/a,ascii
1642,n/a,n/a,n/a,ascii
1643,*,n/a,n/a,ascii
1644,",","""",n/a,ascii
1645,",","""",n/a,ascii
1646,",","""",n/a,ascii
1647,",","""",n/a,ascii
1648,",","""",n/a,ascii
1649,",","""",n/a,ascii
1650,",","""",n/a,utf-8
1651,",","""",n/a,ascii
1652,",","""",n/a,ascii
1653,",","""",n/a,ascii
1654,",",n/a,n/a,ascii
1655,",",n/a,n/a,ascii
1656,",",n/a,n/a,ascii
1657,",",n/a,n/a,ascii
1658,",",n/a,n/a,ascii
1659,",",n/a,n/a,ascii
1660,",",n/a,n/a,ascii
1661,",",n/a,n/a,utf-8
1662,",",n/a,n/a,ascii
1663,",",n/a,n/a,ascii
1664,",",n/a,n/a,ascii
1665,",",n/a,n/a,ascii
1666,",",n/a,n/a,ascii
1667,",",n/a,n/a,utf-8
1668,",",n/a,n/a,ascii
1669,",",n/a,n/a,ascii
1670,\t,n/a,n/a,ISO-8859-1
1671,\t,n/a,n/a,ascii
1672,;,"""",n/a,ascii
1673,",",n/a,n/a,ascii
1674,",",n/a,n/a,ascii
1675,",",n/a,n/a,ascii
1676,",",n/a,n/a,ascii
1677,",",n/a,n/a,ascii
1678,",",n/a,n/a,ascii
1679,",",n/a,n/a,ascii
1680,",",n/a,n/a,ascii
1681,",",n/a,n/a,ascii
1682,",",n/a,n/a,ascii
1683,",",n/a,n/a,ascii
1684,",",n/a,n/a,ascii
1685,",",n/a,n/a,ascii
1686,",",n/a,n/a,ascii
