FILEHASH,DELIMITER,QUOTECHAR,ESCAPECHAR,ENCODING
193,",","""",n/a,ascii
194,",","""",n/a,ISO-8859-1
195,",","""",n/a,ISO-8859-1
196,",","""",n/a,ascii
197,",","""",n/a,ISO-8859-1
198,",",n/a,n/a,ascii
199,",",n/a,n/a,ascii
200,",","""",n/a,ascii
201,",","""",n/a,ascii
202,",","""",n/a,utf-8
203,",",n/a,n/a,ascii
204,",","""",n/a,ascii
205,",",n/a,n/a,ascii
206,",","""",n/a,utf-8
207,",",n/a,n/a,ascii
208,",","""",n/a,utf-8
209,",","""",n/a,ascii
210,",",n/a,n/a,ascii
211,",","""",n/a,ascii
212,",","""",n/a,ascii
213,",",n/a,n/a,ascii
214,",","""",n/a,utf-8
215,",","""",n/a,ascii
216,",","""",n/a,ascii
217,",",n/a,n/a,ascii
218,",","""",n/a,ISO-8859-1
219,",","""",n/a,utf-8
220,",","""",n/a,ISO-8859-1
221,",",n/a,n/a,ascii
222,",","""",n/a,ISO-8859-1
223,",","""",n/a,utf-8
224,",","""",n/a,ascii
225,",","""",n/a,ascii
226,",","""",n/a,utf-8
227,",",n/a,n/a,ascii
228,",","""",n/a,Windows-1252
229,",","""",n/a,ISO-8859-1
230,",","""",n/a,ascii
231,",",n/a,n/a,ascii
232,",","""",n/a,utf-8
233,>,single,n/a,Windows-1252
234,",","""",n/a,ascii
235,",","""",n/a,ascii
236,",",n/a,n/a,ascii
237,",","""",n/a,ascii
238,",","""",n/a,ascii
239,",","""",n/a,ascii
240,",","""",n/a,ascii
241,",","""",n/a,utf-8
242,",","""",n/a,utf-8
243,",","""",n/a,utf-8
244,",","""",n/a,Windows-1252
245,",","""",n/a,utf-8
246,",","""",n/a,utf-8
247,",","""",n/a,ISO-8859-1
248,",","""",n/a,ISO-8859-1
249,",","""",n/a,ISO-8859-1
250,",","""",n/a,ascii
251,",","""",n/a,utf-8
252,",","""",n/a,ascii
253,",","""",n/a,ISO-8859-1
